Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,320.489990234375,327.4599914550781,320.3599853515625,325.7099914550781,321.10186767578125,265948900.0
2020-01-13,326.3900146484375,332.17999267578125,325.9200134277344,331.95001220703125,327.2536315917969,331872500.0
2020-01-20,330.8999938964844,332.95001220703125,327.3599853515625,328.7699890136719,324.1185607910156,266198700.0
2020-01-27,323.0299987792969,328.6300048828125,320.7300109863281,321.7300109863281,317.1781921386719,391122800.0
2020-02-03,323.3500061035156,334.19000244140625,323.2200012207031,332.20001220703125,327.50006103515625,312265700.0
2020-02-10,331.2300109863281,338.1199951171875,331.19000244140625,337.6000061035156,332.82366943359375,260011300.0
2020-02-17,336.510009765625,339.0799865722656,332.5799865722656,333.4800109863281,328.761962890625,293992500.0
2020-02-24,323.1400146484375,333.55999755859375,285.5400085449219,296.260009765625,292.06854248046875,1244892900.0
2020-03-02,298.2099914550781,313.8399963378906,290.2300109863281,297.4599914550781,293.2515563964844,1130490100.0
2020-03-09,275.29998779296875,288.5199890136719,247.67999267578125,269.32000732421875,265.5096740722656,1562964500.0
2020-03-16,241.17999267578125,256.8999938964844,228.02000427246094,228.8000030517578,225.5629425048828,1523388400.0
2020-03-23,228.19000244140625,262.79998779296875,218.25999450683594,253.4199981689453,251.30372619628906,1342924000.0
2020-03-30,255.6999969482422,263.3299865722656,243.89999389648438,248.19000244140625,246.11741638183594,869026800.0
2020-04-06,257.8399963378906,281.20001220703125,248.1699981689453,278.20001220703125,275.8768005371094,733545600.0
2020-04-13,277.1400146484375,287.29998779296875,271.4100036621094,286.6400146484375,284.2463073730469,649240600.0
2020-04-20,282.6099853515625,286.7900085449219,272.0199890136719,282.9700012207031,280.6069641113281,509895300.0
2020-04-27,285.1199951171875,294.8800048828125,281.5199890136719,282.7900085449219,280.428466796875,549993900.0
2020-05-04,280.739990234375,292.95001220703125,279.1300048828125,292.44000244140625,289.9978942871094,385948200.0
2020-05-11,290.3399963378906,294.239990234375,272.989990234375,286.2799987792969,283.88934326171875,553230300.0
2020-05-18,293.04998779296875,297.8699951171875,291.95001220703125,295.44000244140625,292.97283935546875,443623300.0
2020-05-25,301.92999267578125,306.8399963378906,295.4599914550781,304.32000732421875,301.7786865234375,403439700.0
2020-06-01,303.6199951171875,321.2699890136719,303.05999755859375,319.3399963378906,316.6732177734375,448912200.0
2020-06-08,320.2200012207031,323.4100036621094,298.6000061035156,304.2099914550781,301.6695861816406,649893900.0
2020-06-15,298.0199890136719,315.6400146484375,296.739990234375,308.6400146484375,306.0625915527344,572358300.0
2020-06-22,307.989990234375,314.5,299.4200134277344,300.04998779296875,298.85369873046875,493363100.0
2020-06-29,301.4100036621094,315.70001220703125,298.92999267578125,312.2300109863281,310.9851379394531,334908800.0
2020-07-06,316.3699951171875,317.8800048828125,310.67999267578125,317.5899963378906,316.3237609863281,340167000.0
2020-07-13,320.1300048828125,323.0400085449219,312.0,321.7200012207031,320.4372863769531,401248400.0
2020-07-20,321.42999267578125,327.2300109863281,319.25,320.8800048828125,319.60064697265625,321105300.0
2020-07-27,321.6300048828125,326.6300048828125,319.6400146484375,326.5199890136719,325.2181396484375,301314700.0
2020-08-03,328.32000732421875,334.8800048828125,327.7300109863281,334.57000732421875,333.236083984375,238806800.0
2020-08-10,335.05999755859375,338.2799987792969,332.010009765625,336.8399963378906,335.49700927734375,256785800.0
2020-08-17,337.94000244140625,339.7200012207031,335.2200012207031,339.4800109863281,338.1264953613281,239583500.0
2020-08-24,342.1199951171875,350.7200012207031,339.45001220703125,350.5799865722656,349.1822204589844,244465300.0
2020-08-31,350.3500061035156,358.75,334.8699951171875,342.57000732421875,341.20416259765625,477805900.0
2020-09-07,336.7099914550781,342.6400146484375,331.0,334.05999755859375,332.72808837890625,381177300.0
2020-09-14,337.489990234375,343.05999755859375,327.9700012207031,330.6499938964844,329.3316955566406,398023800.0
2020-09-21,325.70001220703125,331.20001220703125,319.79998779296875,328.7300109863281,328.7300109863281,403925800.0
2020-09-28,333.2200012207031,338.739990234375,331.19000244140625,333.8399963378906,333.8399963378906,397672200.0
2020-10-05,336.05999755859375,347.3500061035156,334.3800048828125,346.8500061035156,346.8500061035156,297612700.0
2020-10-12,349.5899963378906,354.0199890136719,343.1300048828125,347.2900085449219,347.2900085449219,361462300.0
2020-10-19,348.6499938964844,349.3299865722656,340.6499938964844,345.7799987792969,345.7799987792969,296595700.0
2020-10-26,342.1300048828125,342.9800109863281,322.6000061035156,326.5400085449219,326.5400085449219,495446400.0
2020-11-02,330.20001220703125,352.19000244140625,327.239990234375,350.1600036621094,350.1600036621094,463334900.0
2020-11-09,363.9700012207031,364.3800048828125,350.510009765625,358.1000061035156,358.1000061035156,446943600.0
2020-11-16,360.9800109863281,362.7799987792969,354.1499938964844,355.3299865722656,355.3299865722656,341601600.0
2020-11-23,357.2799987792969,364.17999267578125,354.8699951171875,363.6700134277344,363.6700134277344,199491500.0
2020-11-30,362.8299865722656,363.1199951171875,359.1700134277344,362.05999755859375,362.05999755859375,83872700.0
