Date,direction,SPY_vol,SPY_log,MSFT_vol,MSFT_log,AAPL_vol,AAPL_log,AMZN_vol,AMZN_log,GOOGL_vol,GOOGL_log,JNJ_vol,JNJ_log,BRK-B_vol,BRK-B_log,JPM_vol,JPM_log,rsi14,macd,Lisa_Pol,Lisa_Sub,OilPrice_Pol,OilPrice_Sub,SenTrader_Pol,SenTrader_Sub,Yahoo_Pol,Yahoo_Sub
2020-01-06,1,0.060426982181051726,-0.007646506122013008,0.11408897767144295,-0.0120861003443542,0.06459482223670802,0.014848166796705975,0.20107404487767944,-0.007498696091120748,0.09048533267278644,-0.0038251243561324704,0.11172751497113716,-0.012285328004468354,0.06829146083624033,-0.005098292620660415,0.14839267045026816,-0.02416377743544817,75.35726647788992,1,0.1418859816653934,0.3401004088504088,0.1373492063492064,0.4661825396825397,0.0518560606060606,0.3184090909090909,0.049591441901625816,0.2742264183669595
2020-01-13,1,0.0721490103153299,0.01824198609089933,0.12136950446481272,0.029358479946793636,0.13199389107423995,0.058983466981064936,0.1403411931688116,0.01669325392217136,0.1879802975271784,0.06002777492544897,0.10473332567005507,0.010225291174757343,0.06788543938226928,0.009114289797426343,0.1431449098152952,-0.0027130731009457065,78.81504938852045,1,0.039092504717504736,0.3913874320124319,-0.012130120123541177,0.389535866180603,0.12250618429189855,0.4172314986600701,0.05354916647679804,0.2733051262985474
2020-01-20,0,0.07044182352510778,0.01372316623648473,0.1265047082355169,0.02996204129902313,0.13666339933254598,0.017652248642516355,0.1696680110183416,-0.014008688551502502,0.1942806961854648,0.030027133663053537,0.11408725382095145,0.021084955296597485,0.053563040684964085,0.012256677821713248,0.10863293654227467,0.007315856626538775,73.17960894917519,1,0.08474301129230706,0.36222980266994337,-0.007984412578162587,0.4157895021645021,-0.005616883116883116,0.3478246753246753,0.06550391660584244,0.2619382012259921
2020-01-27,1,0.12156156513145487,-0.024071002094673943,0.1944924877020224,-0.03374019222575608,0.2101970146270418,-0.02273515184529273,0.20264221360976492,-0.024424552007074496,0.25200949221288754,-0.03261536855854441,0.09537428438897297,-0.0071597572771624485,0.11031036625834674,-0.02712109395268492,0.1943924199011343,-0.05175759162743709,62.52163324036246,1,0.08642690207396089,0.3493508332625979,0.032767419088847664,0.373671347832062,-0.010277777777777771,0.275,0.06933451744101413,0.25294436473918386
2020-02-03,1,0.12087848917781965,0.0009901523807851476,0.25629604321246585,0.0559890418755078,0.23491316379613236,-0.01875180247643193,0.35597756470988323,0.09959667175780318,0.2486951953093443,0.02081513611544139,0.09998717987596696,0.012797331523047184,0.1153471244041682,0.007925589411187595,0.1972979506978267,0.01818023919619716,69.61038743161114,1,0.06464818514818517,0.34722298997298984,-0.011787509569199708,0.4076166341483243,0.05624999999999999,0.1875,0.06546089115359954,0.2673240631585125
2020-02-10,1,0.13581405792656878,0.02407768451895009,0.2904751525576271,0.0743259375028904,0.2454036024064751,0.03195202997181568,0.3496609622997469,0.03634048323955597,0.23904933730309166,0.0106027479750761,0.07526258755721238,0.015011869926163438,0.11604839833631805,0.007467183549763056,0.2267762187094692,0.03182638172271357,72.49947957229959,1,0.05882112257112256,0.3378348715848717,-0.013701824795574795,0.4005058772246273,-0.0333125,0.3605,0.06879845405546342,0.2563095660973386
2020-02-17,0,0.1333878161232936,0.015814864058121714,0.297685340903261,0.010997151734265742,0.16599846610579028,0.0037487501948989532,0.3492253255810316,0.019007567201822617,0.1792906178619525,0.024810978645430914,0.09535522606954554,-0.008009253336015655,0.11305997004111225,-0.003439454768648709,0.2264484913138045,0.002843703102628936,67.24663105163643,1,0.03718553178847297,0.27563767931414984,-0.01914649614054377,0.3830580178199225,0.10616117216117216,0.3045004578754579,0.061044755097902914,0.26830116159860706
2020-02-24,0,0.19251006823919609,-0.04054218416531796,0.5035223345973944,-0.10105368225087387,0.2395675571969101,-0.05910758738163757,0.4298239130486343,-0.0590452786268072,0.2701840796416797,-0.0621771880689046,0.12192014503542922,-0.026738308426265792,0.11742280788477236,-0.02269475051348913,0.2654352125319597,-0.04390908422466477,39.44327127561658,0,0.10641872253377938,0.3673412459278937,-0.03542630034107306,0.3497070953036862,0.07080357142857142,0.3883829365079365,0.058050186012521814,0.2327907100957183
2020-03-02,0,0.3103113370466167,-0.08028780352533271,0.4903165431061356,-0.01477153495222172,0.2701427457676491,-0.051707727764692464,0.4642329949056886,-0.04947209469540148,0.29768390678030743,-0.051668786622679264,0.28594319965768666,-0.08338161799605626,0.21844332731426824,-0.06563862851730295,0.4365302762204602,-0.11954398514988895,40.30027361602387,0,0.04290517111412634,0.3258596358036655,0.006858465608465607,0.3475267127052841,0.01001981351981352,0.2370292022792023,0.04611169049386892,0.2867658048448628
2020-03-09,0,0.3573246974621854,-0.07993653984717408,0.5185758647439875,-0.09054264748134244,0.3119247236378958,-0.06789779701791243,0.34917125746933925,-0.07210589515051248,0.4040650679483625,-0.11468736426166792,0.2841169543877616,0.01143462016801955,0.23504501970401345,-0.06092623545165754,0.641868103412931,-0.18873837633474988,29.689331728829192,0,0.03253592086925424,0.3841098099431433,-0.018387030738221212,0.3263495818555344,-0.09626984126984127,0.2444949494949495,0.0707974142830088,0.2928835155826444
